variable_number,variable_name,data_type,variable_label,variable_options_at_entry
1,CASEID,numeric,Case Identification Number,
2,SEX,character,Gender,
3,RACE_NEW,character,New Race,
4,ETHNICITY_HISPANIC,character,Ethnicity Hispanic,
5,PRNCPTX,character,Principle operative procedure CPT code description,
6,CPT,character,CPT,
7,WORKRVU,numeric,Work Relative Value Unit,
8,INOUT,character,Inpatient/outpatient,
9,TRANST,character,Origin status,Home/Permanent residence; Acute are hospital; Other facility; Unknown
10,AGE,numeric,Age of paitents with over 89 coded as 90+,
11,ADMYR,numeric,Year of Admission,
12,ADMSYR,numeric,Year of Admission to Surgery,
13,OPERYR,numeric,Year of Operation,
14,ANESTHES,character,Principal anesthesia technique,
15,ATTEND,character,Level of Residency Supervision,"Attending & Resident in OR; Attending Alone; Attending Not Present, but Available"
16,SURGSPEC,character,Surgical specialty,
17,HEIGHT,numeric,Height in inches,
18,WEIGHT,numeric,Weight in lbs,
19,DIABETES,character,Diabetes mellitus with oral agents or insulin,
20,SMOKE,character,Current smoker within one year,
21,PACKS,numeric,Pack-years of smoking,
22,ETOH,character,Etoh > 2 drinks/day in 2 wks before admission,
23,DYSPNEA,character,Dyspnea,
24,DNR,character,Do not resuscitate (DNR) status,
25,FNSTATUS1,character,Functional health status prior to current illness,
26,FNSTATUS2,character,Functional health status prior to surgery,
27,VENTILAT,character,Ventilator dependent,
28,HXCOPD,character,History of severe COPD,Yes; No
29,CPNEUMON,character,Current pneumonia,Yes; No
30,ASCITES,character,Ascites,Yes; No
31,ESOVAR,character,Esophageal varices,Yes; No
32,HXCHF,character,CHF 30 days before surgery,Yes; No
33,HXMI,character,MI within 6 months of surgery,Yes; No
34,PRVPCI,character,Previous PCI,Yes; No
35,PRVPCS,character,Previous cardiac surgery,Yes; No
36,HXANGINA,character,Angina,Yes; No
37,HYPERMED,character,Hypertension requiring medication,Yes; No
38,HXPVD,character,History of revascularization/ampuptation for peripheral vascular disease,Yes; No
39,RESTPAIN,character,Rest pain/gangrene,Yes; No
40,RENAFAIL,character,Acute renal failure pre-operatively,Yes; No
41,DIALYSIS,character,Currently on dialysis (pre-op),Yes; No
42,IMPSENS,character,Impaired sensorium,Yes; No
43,COMA,character,Coma at time of entering surgery (not including intubation),Yes; No
44,HEMI,character,Hemiplegia,Yes; No
45,HXTIA,character,History of transient ischemic attack,Yes; No
46,CVA,character,CVA/stroke with neurological deficit,Yes; No
47,CVANO,character,CVA/stroke with no neuological deficit,Yes; No
48,TUMORCNS,character,Tumor involving CNS,Yes; No
49,PARA,character,Paraplegia,Yes; No
50,QUAD,character,Quadriplegia,Yes; No
51,DISCANCR,character,Disseminated cancer,Yes; No
52,WNDINF,character,Open wound/wound infection,Yes; No
53,STEROID,character,Steroid use for chronic condition,Yes; No
54,WTLOSS,character,>10% weight loss in last 6 months,Yes; No
55,BLEEDDIS,character,Bleeding disorders,Yes; No
56,TRANSFUS,character,Preop transfusion of >= 1 unit of whole/packed RBCs in 72 hours prior to surgery,Yes; No
57,CHEMO,character,Chemotherapy for malignancy in <= 30 days pre-op,Yes; No
58,RADIO,character,Radiotherapy for malignancy in last 90 days,Yes; No
59,PRSEPIS,character,Systemic sepsis,Yes; No
60,PREGNANCY,character,Pregnancy,Yes; No
61,PROPER30,character,Prior operation within 30 days,Yes; No
62,DPRNA,numeric,Days from NA preoperative labs to operation,
63,DPRBUN,numeric,Days from BUN Preoperative Labs to Operation,
64,DPRCREAT,numeric,Days from Creatinine Preoperative Labs to Operation,
65,DPRALBUM,numeric,Days from Albumin Preoperative Labs to Operation,
66,DPRBILI,numeric,Days from Bilirubin Preoperative Labs to Operation,
67,DPRSGOT,numeric,Days from SGOT Preoperative Labs to Operation,
68,DPRALKPH,numeric,Days from ALKPHOS Preoperative Labs to Operation,
69,DPRWBC,numeric,Days from WBC Preoperative Labs to Operation,
70,DPRHCT,numeric,Days from HCT Preoperative Labs to Operation,
71,DPRPLATE,numeric,Days from PlateCount Preoperative Labs to Operation,
72,DPRPTT,numeric,Days from PTT Preoperative Labs to Operation,
73,DPRPT,numeric,Days from PT Preoperative Labs to Operation,
74,DPRINR,numeric,Days from INR Preoperative Labs to Operation,
75,PRSODM,numeric,Pre-operative serum sodium,
76,PRBUN,numeric,Pre-operative BUN,
77,PRCREAT,numeric,Pre-operative serum creatinine,
78,PRALBUM,numeric,Pre-operative serum albumin,
79,PRBILI,numeric,Pre-operative total bilirubin,
80,PRSGOT,numeric,Pre-operative SGOT,
81,PRALKPH,numeric,Pre-operative alkaline phosphatase,
82,PRWBC,numeric,Pre-operative WBC,
83,PRHCT,numeric,Pre-operative hematocri,
84,PRPLATE,numeric,Pre-operative platelet count,
85,PRPTT,numeric,Pre-operative PTT,
